# 서재 책장에 꽂는 서적. 숙련도 1개당 1권 (skill 은 코드가 찾는 값이므로 바꾸지 않는다).
# 아이템 id 는 book_<skill>, 가격은 등급에서 정해진다 (tables.csv 의 BOOK_VALUE_BY_RARITY).
# 등급이 곧 서재 보너스 가중치다 (tables.csv 의 BOOK_RARITY_MUL).
skill,name,rarity,description
carry,『짐꾼의 요령』,common,무거운 짐을 오래 지는 요령을 정리한 수기. 서재 책장에 꽂으면 운반 숙련의 상승량이 늘어난다.
appraisal,『감정사의 눈』,uncommon,전리품 감정사의 현장 노트. 서재 책장에 꽂으면 감정 숙련의 상승량이 늘어난다.
grit,『버티는 법』,uncommon,치명상을 견디고 살아 돌아온 헬다이버들의 증언집. 서재 책장에 꽂으면 인내 숙련의 상승량이 늘어난다.
gardening,『함선 원예 입문』,common,무중력 재배층 관리 입문서. 서재 책장에 꽂으면 원예 숙련의 상승량이 늘어난다.
crafting,『야전 제작 편람』,uncommon,폐자재로 장비를 만드는 야전 편람. 서재 책장에 꽂으면 제작 숙련의 상승량이 늘어난다.
medicine,『전장 의학』,rare,스팀 조제와 응급 처치를 다룬 군의관 교재. 서재 책장에 꽂으면 의학 숙련의 상승량이 늘어난다.
cryptography,『암호 해독 원론』,epic,군 등급 암호 체계의 원리를 파헤친 금서. 서재 책장에 꽂으면 암호학 숙련의 상승량이 늘어난다.
implant,『전술 임플란트 운용 지침』,epic,임플란트 에너지 관리와 냉각 주기를 다룬 기밀 지침서. 서재 책장에 꽂으면 전술 임플란트 숙련의 상승량이 늘어난다.
gun_AR,『사격 교본: 돌격소총』,common,슈퍼 지구 표준 돌격소총 사격 교본. 서재 책장에 꽂으면 돌격소총 사격 숙련의 상승량이 늘어난다.
gun_SMG,『사격 교본: 기관단총』,common,근접 연사 교본. 서재 책장에 꽂으면 기관단총 사격 숙련의 상승량이 늘어난다.
gun_SR,『사격 교본: 저격소총』,rare,장거리 볼트액션 저격 교본. 서재 책장에 꽂으면 저격소총 사격 숙련의 상승량이 늘어난다.
gun_DMR,『사격 교본: 지정사수소총』,rare,중거리 정밀 사격 교본. 서재 책장에 꽂으면 지정사수소총 사격 숙련의 상승량이 늘어난다.
gun_SG,『사격 교본: 산탄총』,uncommon,근거리 제압 사격 교본. 서재 책장에 꽂으면 산탄총 사격 숙련의 상승량이 늘어난다.
equipment,『장비 정비 매뉴얼』,uncommon,방어구와 가방을 오래 쓰는 정비 매뉴얼. 서재 책장에 꽂으면 장비 관리 숙련의 상승량이 늘어난다.
