# 전역 수치 상수 — src/shared/constants.ts 가 이 표를 읽는다 (K.num / K.bool).
# key 는 코드가 찾는 이름이므로 바꾸지 않는다. 고치는 것은 value 뿐이다.
key,value,note

# ── 기본 ──
MAP_SIZE,640,"world is a square [-MAP_SIZE/2, MAP_SIZE/2] on X and Z (meters)"
EXTRACTION_COUNTDOWN,20,"seconds from switch press to ship arrival (2026-09-13: 60 → 20 — 탈출 디펜스가 사라져 기다리는 시간만 남았다)"
PLAYER_MAX_HP,100,
PLAYER_RADIUS,0.45,
PLAYER_HEIGHT,1.8,
PLAYER_WALK_SPEED,4.2,
PLAYER_SPRINT_SPEED,7.2,
PLAYER_INTERACT_RANGE,3.0,
INVENTORY_COLS,10,
INVENTORY_ROWS,6,
GRAVITY,24,
PLAYER_MAX_STAMINA,100,
PLAYER_CROUCH_SPEED,2.4,
PLAYER_PRONE_SPEED,1.3,
PING_LIFETIME,25,Seconds a ping marker stays on screen / map.

# ── appended: pings v2 / chat / pickups / hub ──
PING_DRAG_THRESHOLD_PX,45,"Middle-mouse drag distance (px, pointer-locked movement) that turns a click into a directional ping."
PING_HOLD_MAX,1.2,Max seconds the middle button may be held before the gesture is treated as a plain ping.
CHAT_MAX_LINES,60,Chat log lines kept.
PICKUP_LIFETIME,0,Seconds a dropped item pickup stays in the world (0 = forever).
PICKUP_MAX,96,Max simultaneous pickups per mission (oldest removed).
HUB_LAUNCH_COUNTDOWN,3,"Seconds between ""everyone boarded"" and mission launch in the hub."
HUB_DOCKING_DURATION,6,Docking cutscene length (s).
HUB_SQUAD_DOCK_COUNTDOWN_S,3,"2026-09-15: seconds of the right-side countdown a squad member sees after the leader docked into the shared ship; then their own screens close, fade out and the docking cutscene plays."
HUB_DOCK_FADE_S,0.6,"2026-09-15: fade-out before, and fade-in after the start of, a docking cutscene into the shared ship (s)."

# ── appended: weapon package (2026-09-05) ──
WEAPON_DURABILITY_PER_SHOT,1,Durability lost per trigger pull (shotgun pellets count once).
WEAPON_DEFAULT_DURABILITY,400,Fallback `WeaponDef.maxDurability`.
WEAPON_SWAP_TIME_PRIMARY,0.4,Holster + draw time when swapping to a primary / secondary (s).
WEAPON_SWAP_TIME_SECONDARY,0.1,
WEAPON_ADS_TIME,0.25,Aim-in time (s) for primaries; secondaries use half. Stocks multiply it.
WEAPON_GRADE_DAMAGE_STEP,0.12,"Per grade above I: damage +12 %, max durability +25 %."
WEAPON_GRADE_DURABILITY_STEP,0.25,
BAG_DEFAULT_COLS,5,Bag grid with no backpack equipped (half of a common bag). `INVENTORY_COLS × INVENTORY_ROWS` is the legendary bag.
BAG_DEFAULT_ROWS,3,
BAG_DEFAULT_QUICK_SLOTS,1,
REPAIR_SCRAP_PER,100,Repair: 1 폐금속 per REPAIR_SCRAP_PER durability missing (rounded up); grade ≥ III also needs 1 합금 판 per REPAIR_ALLOY_PER.
REPAIR_ALLOY_PER,250,

# ── appended: Phase 2 — down / revive / respawn ──
PLAYER_DOWN_HP,100,Separate health pool while 전투불능.
PLAYER_DOWN_BLEED_PER_SEC,1,Bleed per second while downed.
PLAYER_DOWN_SPEED_MUL,0.6,Crawl speed multiplier on top of PLAYER_PRONE_SPEED while downed.
PLAYER_REVIVE_HOLD,10,Teammate hold (s) and range (m) to revive; hp after a revive.
PLAYER_REVIVE_RANGE,3,
PLAYER_REVIVE_HP,10,
PLAYER_RESPAWN_DELAY,30,Seconds after death until the respawn (hellpod at the mission start point) is allowed.
PLAYER_GIVE_UP_HOLD,1.5,Holding Space this long while downed gives up (immediate death → respawn timer).

# ── appended: Phase 2 — quick-use wheel / grenade cooking ──
QUICK_SLOTS,8,
QUICK_WHEEL_HOLD,0.22,F held longer than this opens the wheel; shorter = re-equip the last quick item.
QUICK_WHEEL_DRAG_PX,30,Pointer-locked mouse travel (px) needed before a wheel direction counts.
GRENADE_FUSE,3,Fuse after the pin is pulled; a grenade cooked this long explodes in the hand.
GRENADE_COOK_MAX,3,
GRENADE_UNDERHAND_SPEED_MUL,0.45,Underhand toss speed multiplier.
GRENADE_THROW_SPEED,34,"Overhand release speed (m/s) before the 근력 multiplier (2026-09-09: moved here from weapons/model.ts). 2026-09-12 (사용자 결정): 17 → 34 로 기본 투척 거리를 2배(9.1 → 18.1 m). 거리 ∝ 속도 이므로 여기만 2배면 된다."
GRENADE_THROW_LIFT,3.5,Extra upward velocity (m/s) added to an overhand throw.
GRENADE_UNDERHAND_LIFT,1.2,Upward velocity (m/s) of an underhand toss.
GRENADE_RADIUS,7.2,"파편 수류탄 폭발 반경 (m) — 2026-09-15 (사용자 결정): 6 → 7.2 (×1.2). 예전에는 weapons/Grenade.ts 에 박혀 있었다. 감쇠는 EXPLOSION_FULL_FRACTION · EXPLOSION_OUTER_MUL 의 2단 계단이므로 중심 3.6 m 까지 100 % · 거기서 7.2 m 까지 50 % 다."
GRENADE_DAMAGE,60,"파편 수류탄의 중심 피해. 적 · 플레이어 · 드론 · 설치물이 같은 값을 EXPLOSION_* 감쇠로 나눠 받는다 (플레이어 몫은 GRENADE_PLAYER_DAMAGE_MUL 이 더 깎는다). 2026-09-17 (사용자 결정, 전역 피해 1/3 개편): 250 → 60 — 중심 60 · 바깥 30."
GRENADE_PLAYER_DAMAGE_MUL,0.6,"수류탄 폭발이 플레이어에게 주는 몫 — 내 수류탄이든 분대원 수류탄의 복제든 같다 (Phase 7). 적 · 드론에는 안 곱해진다."
THROW_RANGE_MUL_MIN,1.0,"투척 거리 배율 at STAT_MIN 근력 (2026-09-09): 근력 1 → 1.0 (= 예전 근력 5 값). 사이는 선형, STAT_MAX 에서 THROW_RANGE_MUL_MAX."
THROW_RANGE_MUL_MAX,2.25,"투척 거리 배율 at STAT_MAX 근력. 2026-09-12 (사용자 결정): 1.74 → 2.25. 거리는 √배율 이므로 √2.25 = 1.5 배 — 기본 18.1 m 에서 최대 27.2 m 다 (근력 · 임플란트를 아무리 올려도 기본의 1.5 배가 천장)."

# ── appended: Phase 3 — ship calls / stratagems ──
STRATAGEM_WHEEL_HOLD,0.22,G held longer than this opens the wheel; a tap re-arms the last call.
STRATAGEM_CHARGE_TIME,3,LMB hold (s) before an orbital call switches to the top view.
