# 함선 시설 강화 비용. level = 그 레벨에 "도달"하는 비용 (방 용도를 정하면 레벨 1 은 공짜).
# cost 는 "아이템id:수량" 을 | 로 이어 쓴다 — mat_scrap:8|mat_cable:2
# 레벨은 1 부터 빠짐없이 이어져야 한다. 줄을 지우면 최대 레벨이 줄어든다.
facility,level,cost
# generator — 레벨 n 으로 올리는 데 드는 재료
generator,1,mat_scrap:4
generator,2,mat_scrap:8|mat_cable:2
generator,3,mat_alloy:6|mat_cable:4|mat_power_cell:1
generator,4,mat_alloy:10|mat_circuit:3|mat_power_cell:2
generator,5,mat_alloy:14|mat_circuit:6|mat_power_cell:4

# storage — 레벨 n 으로 올리는 데 드는 재료
storage,1,mat_scrap:6
storage,2,mat_scrap:10|mat_alloy:2
storage,3,mat_alloy:6|mat_cable:2
storage,4,mat_alloy:10|mat_circuit:2
storage,5,mat_alloy:16|mat_circuit:4|mat_power_cell:2

# ── 은퇴 (2026-09-12, 사용자 결정: 방 시설 레벨 제거 → 시설 안의 가구 강화로 대체) ──
# 아래 두 묶음은 **게임이 더 이상 팔지 않는다.** 작업실 · 시뮬레이션실(옛 사격장)에는 레벨이 없고, 강화는 그 방의
# 가구(작업대 · 관물대 · 시뮬레이션 허브)가 한다. 줄을 남겨 둔 이유는 하나다 — 옛 세이브에 레벨 2 이상인 방이 있으면
# `housing/ShipState.sanitize` 가 **그만큼 쓴 재료**를 여기서 계산해 돌려준다 (은퇴 가구 `furn_grow_rack` 과 같은 처리).
# 값을 고치면 옛 세이브의 환불액이 바뀐다.
# workshop — 레벨 n → n+1 로 올리던 재료 (첫 줄 = Lv.1 → 2)
workshop,1,mat_scrap:10|mat_cable:2
workshop,2,mat_alloy:8|mat_circuit:3

# range — 레벨 n → n+1 로 올리던 재료 (첫 줄 = Lv.1 → 2)
range,1,mat_scrap:8
range,2,mat_scrap:12|mat_cable:2
range,3,mat_alloy:6|mat_circuit:2
range,4,mat_alloy:12|mat_circuit:4|mat_power_cell:2

