# 시체에서 아이템 말고 따로 굴리는 것들 (로그가 들고 있던 총 · 서적 · 망가진 임플란트 · 유니크).
# ammoFrac* = 그 총의 탄종을 한 스택 × 이 비율만큼. weaponDur* = 총의 내구도(최대치 대비 비율).
# weaponGrades 를 적으면 같은 계열의 그 등급들 중 하나로 다시 매겨진다 (보스). weaponAttachMaxRarity 는 부착물 1개.
# implantWeights 는 "등급:가중치" 를 | 로 이어 쓴다 — 적지 않은 등급은 안 나온다.
# 칸을 비우면 그 굴림은 없다.
type,ammoFracMin,ammoFracMax,weaponDurMin,weaponDurMax,weaponGrades,weaponAttachMaxRarity,uniqueChance,uniqueDurMin,uniqueDurMax,bookChance,implantChance,implantWeights
rogue,0.3,0.6,0.05,0.15,,,,,,0.03,0.06,common:55|uncommon:30|rare:12|epic:3
rogue_boss,0.3,0.6,0.4,0.7,3|4,epic,0.2,0.5,0.8,0.2,0.45,common:10|uncommon:25|rare:30|epic:25|legendary:10
# 2026-09-13 인간형 팩션 — 탄약 · 총 내구도는 로그와 같다. 총의 **등급**은 여기(weaponGrades)가 아니라 loot_factions.csv 의 weaponGrades 가 정한다.
# 안드로이드는 서적 · 임플란트를 안 들고, 레이더는 로그보다 임플란트가 조금 잦고 좋다.
android,0.3,0.6,0.05,0.15,,,,,,,,
raider,0.3,0.6,0.05,0.15,,,,,,0.03,0.07,common:45|uncommon:33|rare:17|epic:5
# 2026-09-11 네임드 로그 — 서적 · 망가진 임플란트만 rogue_boss 와 같게. 들고 있던 총 · 보스 유니크 굴림은 없다
# (총은 loot_named.csv 의 확정 드롭이 대신한다 — 여기서도 굴리면 저격소총이 두 자루가 된다).
rogue_sniper,,,,,,,,,,0.2,0.45,common:10|uncommon:25|rare:30|epic:25|legendary:10
rogue_hammer,,,,,,,,,,0.2,0.45,common:10|uncommon:25|rare:30|epic:25|legendary:10
rogue_heavy,,,,,,,,,,0.2,0.45,common:10|uncommon:25|rare:30|epic:25|legendary:10
# 2026-09-14 3차 튜토리얼 — 들고 있던 총이 그대로 떨어지는 유일한 줄. 스폰이 쥐여 준 계열은 안드로이드 목록의 첫 항목
# (enemy_abilities.csv 의 HUMANOID_WEAPONS,android = ar|smg) 이라 **돌격소총**이고, 등급 분포 줄(loot_factions.csv)이 없어
# 등급 I 그대로 나온다. ammoFrac 1 = 그 탄종 **한 스택 가득**, weaponDur 1 = 내구도 최대 (첫 총이라 낡은 것을 주지 않는다).
# 2026-09-15 3차: 철조망 너머의 마지막 둘도 이 타입이고 자리마다 계열을 덮어쓴다 (src/world/tutorial/model.ts ENEMIES —
# 산탄총 sg · 지정사수소총 dmr → 셸 · 중량탄 한 스택). 같은 줄, 같은 규칙이다.
# 서적 · 임플란트 · 유니크 칸은 비운다 — 튜토리얼에 굴림은 없다. tut_bug* · tut_android 는 이 표에 줄이 없다.
tut_android_loot,1,1,1,1,,,,,,,,
