# 적 시체의 미확인 표본 — **개당 등급 굴림** (2026-09-17, 사용자 결정).
# loot_corpses.csv 는 한 줄 = 아이템 하나라 「세포 1 개, 등급은 I 90 % / II 10 %」 를 적을 수 없다. 그래서 이 표가 따로 있다.
#
# 굴림 (items/Loot.ts `rollCorpseSamples`) — 한 줄마다:
#   ① chance (1 = 확정) → ② 개수 qtyMin..qtyMax → ③ **한 개마다** tiers 에서 등급 하나 → 같은 등급끼리 한 스택으로 합친다.
#   tiers = "등급:가중치" | … (등급 1..6 = 이름의 로마 숫자 I..VI, 가중치 합은 얼마든 비율만 쓴다).
#   family = 표본 계열 (cell 세포 · mineral 광물 · dna 유전자). 아이템은 data/samples.csv 에서 그 계열 × 그 등급의 줄이다.
# 이 굴림은 시체 rng 의 **갈래**(`fork`)로 굴린다 — loot_corpses.csv 줄 · 총 · 유니크 … 의 추첨은 이 표 때문에 한 톨도 안 움직인다.
#   시드는 시체와 같으므로 드론 스캔 미리보기 ≡ 열기, 호스트 ≡ 리플리카.
#
# ⚠ 서사 이상 게이트 (planet_loot.csv 의 epicPlusMul) **예외** (2026-09-17 사용자 결정 — 연구실 잠긴 방과 같은 취급):
#   세포 IV 는 서사지만 이 표의 굴림은 게이트를 타지 않는다. 적힌 비율이 곧 실제 비율이다 (charger IV 10 % · behemoth · sandworm 60 %).
#   loot_corpses.csv 등 다른 시체 줄은 게이트를 그대로 탄다.
#
# 줄이 없는 적은 이 굴림이 없다 (rng 도 안 쓴다). type 은 data/enemies.csv 의 적 종류와 같아야 한다.
type,family,qtyMin,qtyMax,chance,tiers
# hunter · toxic — 60 % 로 세포 1 개
hunter,cell,1,1,0.6,1:90|2:10
toxic,cell,1,1,0.6,1:90|2:10
# warrior · artillery — 세포 1 개 확정
warrior,cell,1,1,1,2:90|3:10
artillery,cell,1,1,1,2:90|3:10
# charger — 1–2 개 확정, 개당
charger,cell,1,2,1,3:90|4:10
# behemoth — 2–3 개 확정, 개당
behemoth,cell,2,3,1,3:40|4:60
# 어린 땅굴벌레 · 땅굴벌레 — 3–4 개 확정, 개당
sandworm_weak,cell,3,4,1,2:60|3:40
sandworm,cell,3,4,1,3:40|4:60
# 2026-09-18 bug_egg — 벌레 알. 확률 0.8 은 **헌터(0.6) 와 워리어(1) 사이** (사용자 결정 「헌터~워리어 사이 미확인 세포 확률」).
# 등급도 그 사이다: 헌터 1:90|2:10 · 워리어 2:90|3:10 → 알 1:60|2:40.
bug_egg,cell,1,1,0.8,1:60|2:40
