# 적 시체에서 나오는 아이템. chance 1 = 항상, 수량은 qtyMin..qtyMax 에서 뽑는다.
# 2026-09-11 (A-12): 미확인 표본(spec_*)은 **벌레 시체에서만** 나온다 — 로그 · 로그 보스 · 네임드 줄에는
#   일부러 없다 (사용자 결정: 로그는 표본에 관심이 없다). 다른 두 경로는 행성의 표본 채집지와 구조물 컨테이너다.
# 2026-09-16 (표본 전면 개편): 표본이 **3계열 × 6등급 18종**이 되면서 시체 줄도 등급까지 적는다.
#   성격별로: 세포 = 벌레 대부분 · 유전자 = 벌레에서 드물게(구조물 컨테이너가 본업) · 광물 = 돌격 벌레 · 포병 · 베헤모스.
#   등급은 **적의 격**을 따라간다: 잡벌레 I · 포병 / 베헤모스 II · 땅굴벌레 III. 그 위(IV~VI)는 시체에서 나오지 않는다 —
#   서사 이상은 구조물 컨테이너와 **행성 광맥**(광물 한정)의 몫이다.
# ⚠ 2026-09-17 (사용자 결정): hunter · toxic · warrior · artillery · charger · behemoth · sandworm_weak · sandworm 의
#   표본 줄(세포 · 유전자 · 광물)은 **전부 지웠다** — 이 여덟은 미확인 세포만, **개당 등급을 굴려** 떨군다.
#   "여러 등급 중 하나를 개당" 은 이 표의 모양으로 적을 수 없어서 data/loot_corpse_samples.csv 로 옮겼다 (그 표 머리말 참고).
#   scavenger · spewer 의 세포 I · 유전자 I 줄은 그대로다.
# type 은 data/enemies.csv 의 적 종류와 같아야 한다. 줄을 지우면 그 드랍이 사라진다.
type,defId,qtyMin,qtyMax,chance
# scavenger
scavenger,mat_bio_sample,1,3,1
scavenger,terminid_gland,1,1,0.25
scavenger,seed_bloodroot,1,1,0.04
scavenger,seed_ashleaf,1,1,0.02
scavenger,seed_glowcap,1,1,0.006
scavenger,spec_cell_1,1,1,0.10

# hunter
hunter,mat_bio_sample,1,3,1
hunter,terminid_gland,1,1,0.25
hunter,seed_bloodroot,1,1,0.04
hunter,seed_ashleaf,1,1,0.02
hunter,seed_glowcap,1,1,0.006

# warrior
warrior,mat_bio_sample,1,3,1
warrior,terminid_gland,1,1,0.25
warrior,seed_bloodroot,1,1,0.04
warrior,seed_ashleaf,1,1,0.02
warrior,seed_glowcap,1,1,0.006

# spewer
spewer,mat_bio_sample,1,3,1
spewer,terminid_gland,1,1,0.6
spewer,seed_bloodroot,1,1,0.04
spewer,seed_ashleaf,1,1,0.02
spewer,seed_glowcap,1,1,0.006
spewer,spec_cell_1,1,1,0.10
spewer,spec_gene_1,1,1,0.03

# charger
charger,mat_bio_sample,1,3,1
charger,terminid_gland,1,1,0.25
charger,seed_bloodroot,1,1,0.04
charger,seed_ashleaf,1,1,0.02
charger,seed_glowcap,1,1,0.006
charger,mat_alloy,1,2,0.4

# toxic
toxic,mat_bio_sample,1,2,1
toxic,terminid_gland,1,1,0.35
toxic,seed_bloodroot,1,1,0.04
toxic,seed_ashleaf,1,1,0.02
toxic,seed_glowcap,1,1,0.006

# artillery
artillery,mat_bio_sample,2,3,1
artillery,mat_power_cell,1,1,0.5
artillery,seed_bloodroot,1,1,0.04
artillery,seed_ashleaf,1,1,0.02
artillery,seed_glowcap,1,1,0.006

# behemoth
behemoth,mat_alloy,2,4,1
behemoth,terminid_gland,1,2,1
behemoth,alien_artifact,1,1,0.3
behemoth,seed_bloodroot,1,1,0.04
behemoth,seed_ashleaf,1,1,0.02
behemoth,seed_glowcap,1,1,0.006

# rogue — 실드 충전기는 로그가 붕대와 함께 들고 다니는 완제품이고, 구동 코어는 그 장비에서 뜯어낸 잡템이다 (2026-09-10)
# 2026-09-13 (팩션 전리품): 붕대 · 실드 충전기 · 주사 줄은 loot_factions.csv 의 **회복 굴림 하나**로, 고폭 수류탄 20 % 줄은
#   **던지지 못하고 남은 보유분**(종류 · 개수 그대로 — 굴림 없음)으로 옮겼다. 여기에는 잡템 · 열쇠만 남는다.
rogue,mat_machine_parts,1,1,0.12
rogue,mat_core,1,2,0.3
# 2026-09-12 (C): 소모형 만능 열쇠 — 구조물을 뒤지던 로그가 가끔 쥐고 있다 (아주 드물게)
rogue,key_basement,1,1,0.008
rogue,keycard_lab,1,1,0.008

# android — 2026-09-13 행성 threat 1 의 인간형. 뜯어낼 수 있는 전자 부품 잡템만 — 회복은 loot_factions.csv 의 실드 충전기 굴림,
#   방탄복 · 가방 · 수류탄 · 열쇠 · 서적 · 임플란트 없음.
android,mat_core,1,2,0.45
android,mat_cable,1,2,0.3
android,mat_power_cell,1,1,0.12
