# NPC 퀘스트 목표 (2026-09-14). 한 퀘스트에 보통 2–3줄, 이 파일의 줄 순서가 표시 순서다.
# kind: deliver(납품 — 함선에서 가방 + 창고로) | recover(회수 — 그 레이드에서 얻은 것을 몸에 지니고 탈출) | interact(상호작용) | kill(처치 — 막타) | discover(구조물 발견) | search(구조물 안 컨테이너 조사)
# item (deliver · recover) = 아이템 id, 또는 weapon:<계열> (AR | SMG | SR | DMR | SG — 그 계열 총기 아무 등급)
# enemy (kill) = humanoid | rogue | raider | android | bug | named | 적 타입 id (data/enemies.csv). weapon (kill, 선택) = AR | SMG | SR | DMR | SG (총기 막타만)
# site (discover · search) = outpost(전진기지) | lab(연구소) | wreck(불시착 함선). interact = scanner | basement_door | lab_door | tram | rover
# planet (레이드 목표만, 선택) = amber | tundra | mossy | ashen | crimson. chain (레이드 목표만, 선택) = 같은 값의 목표끼리는 한 레이드 안에서 모두 채워야 함께 확정된다.
# label (선택) = 자동 문구 대신 쓸 목표 문구.
quest,kind,target,item,enemy,weapon,site,interact,planet,chain,label
q_hx_s1,deliver,12,mat_scrap,,,,,,,
q_hx_s1,deliver,8,mat_gunpowder,,,,,,,
q_hx_s2,interact,1,,,,,scanner,,,
q_hx_s2,kill,6,,humanoid,,,,,,
q_hx_s3,kill,8,,humanoid,SMG,,,,,
q_hx_s3,recover,1,weapon:SMG,,,,,,,
q_hx_s4,discover,1,,,,outpost,,,a,
q_hx_s4,search,4,,,,outpost,,,a,
q_hx_s4,deliver,2,mat_power_cell,,,,,,,
q_hx_e1,deliver,8,mat_alloy,,,,,,,
q_hx_e1,kill,12,,humanoid,AR,,,,,
q_hx_permit,deliver,6,mat_circuit,,,,,,,
q_hx_permit,deliver,4,mat_power_cell,,,,,,,
q_hx_permit,interact,1,,,,,scanner,,,
q_hx_e2,discover,1,,,,lab,,tundra,a,
q_hx_e2,search,3,,,,lab,,tundra,a,
q_hx_e3,kill,15,,raider,AR,,,ashen,,
q_hx_e3,recover,2,weapon:AR,,,,,ashen,,
q_bs_s1,deliver,2,terminid_gland,,,,,,,
q_bs_s1,deliver,4,mat_alloy,,,,,,,
q_bs_s2,kill,5,,humanoid,DMR,,,,,
q_bs_s2,discover,1,,,,outpost,,,,
q_bs_s3,kill,10,,humanoid,DMR,,,mossy,,
q_bs_s3,recover,1,weapon:DMR,,,,,mossy,,
q_bs_s4,kill,8,,humanoid,SG,,,,,
q_bs_s4,recover,1,weapon:SG,,,,,,,
q_bs_e1,discover,1,,,,outpost,,,a,
q_bs_e1,search,3,,,,outpost,,,a,
q_bs_e1,interact,1,,,,,basement_door,,,
q_bs_permit,deliver,6,mat_circuit,,,,,,,
q_bs_permit,deliver,10,mat_alloy,,,,,,,
q_bs_permit,recover,1,weapon:SR,,,,,,,
q_bs_e2,kill,6,,humanoid,SR,,,,,
