# 기능 폴더별 조정 수치. shared 계약인 data/constants.csv 와 달리 items/ · meta/ · progression/ 같은
# 폴더 안에서만 쓰이는 값들이다. 다른 csv 에서 `=이름` 으로 참조할 수 있다.
# key 는 코드가 찾는 이름이므로 바꾸지 않는다.
key,value,note
# items — 아이템 공통
DEFAULT_ITEM_WEIGHT,0.1,weight 를 적지 않은 아이템의 무게(kg)
WEAPON_GRADE_VALUE_STEP,0.6,무기 등급 1단계마다 판매가 +60 %
RECOIL_H_RATIO,0.7,수평 반동 = 수직 반동 × 이 값
SECONDARY_ADS_TIME_MUL,0.5,보조무기 조준 시간 배수 (주무기의 절반)

# items — 씨앗 · 서적 · 임플란트 아이템
SEED_STACK_MAX,5,씨앗 한 칸에 겹치는 최대 수
GROW_SLOTS_PER_TIER,3,"재배 스테이션 재배층 한 층의 칸 수 (층은 레벨이 연다 — Lv.1 중앙 · Lv.2 아래 · Lv.3 위)"
SEED_WEIGHT,0.05,씨앗 1개 무게(kg)
BOOK_WEIGHT,0.6,서적 1권 무게(kg)
IMPLANT_WEIGHT,0.2,임플란트 1개 무게(kg)
BROKEN_IMPLANT_VALUE_DIV,4,망가진 임플란트 가격 = 정상품 ÷ 이 값

# items — 고물 분해 (2026-09-10 개편: 산출량은 data/recipes.csv 의 제작 재료 × tables.csv 의
#   SALVAGE_YIELD_BY_DURABILITY 다. 여기 남은 것은 홀드 시간과 반올림 규칙뿐이다.)
WEAPON_SALVAGE_DURATION,6,무기 분해 홀드 시간(초)
ARMOR_SALVAGE_DURATION,5,방탄복 분해 홀드 시간(초)
BAG_SALVAGE_DURATION,5,가방 분해 홀드 시간(초)
SALVAGE_MAIN_MIN_YIELD,1,"분해 산출은 내림이지만 **제일 많이 든 재료** 한 종류만 이 값을 밑돌지 않는다 (0 이 나오는 것을 막는다). 나머지 재료는 0 이면 안 나온다 — 최소 1 을 보장하면 상위 재료가 통째로 돌아와 무한 이득이 된다."
UNIQUE_REPAIR_MUL,1.5,"제작 레시피가 없는 유니크(무기 · 방탄복)의 수리비 배수. 기준은 같은 계열 등급 V (유니크 방탄복은 방탄복 V) 의 제작 재료다."

# items — 방탄복 아이템 가격 (value = BASE + 실드 × SHIELD_MUL + 내구도 × DUR_MUL)
# 2026-09-10: 예전 ARMOR_VALUE_DR_MUL(4200)이 피해감소에 곱해지던 자리다. 실드 = 뎀감률 ÷ 0.3 × 100 이라
# 4200 × 0.3 ÷ 100 = 12.6 을 실드에 곱하면 값이 한 푼도 안 바뀐다 (방탄복 I 832 … V 2400).
ARMOR_VALUE_BASE,300,
ARMOR_VALUE_SHIELD_MUL,12.6,
ARMOR_VALUE_DUR_MUL,1.4,

# items — 가방 무게 (bagWeightBase + 칸수 × bagWeightPerCell)
BAG_WEIGHT_BASE,1.2,
BAG_WEIGHT_PER_CELL,0.02,

# progression — 행동당 숙련도 경험치 (지능 · 능력치 보정 전)
GRIT_SAVE_XP,1.2,치명상을 버텨낼 때
GATHER_XP,0.35,채집 노드 1개당 (수확량으로 배수)
CRAFT_XP,0.5,제작 1회당
REPAIR_XP,0.6,수리 1회당
IMPLANT_XP,0.22,전술 임플란트 발동 1회당
CRYPTO_XP,3,탈출 콘솔 해킹 (임무당 1회)
CRATE_OPEN_XP,0.4,상자를 열 때
CARRY_XP_PER_METER,0.01,무거운 상태로 1 m 이동당

# meta — 크레딧 · 상점 가격 · 계약
CREDITS_INITIAL,500,새 프로필의 시작 크레딧
CREDITS_MAX,9999999,보유 상한
SHOP_UNLOCK_REP_LEVEL,1,상점이 열리는 신뢰도 레벨
SHOP_PRICE_BASE_MUL,1.6,구매가 = 아이템 value × 이 값
SHOP_PRICE_DISCOUNT_PER_REP,0.15,신뢰도 레벨마다 할인
SHOP_PRICE_MIN_MUL,0.9,할인해도 이 배수 밑으로는 안 내려간다
SHOP_BAG_RARITY_BONUS,1,가방은 등급 상한을 이만큼 더 받는다
SELL_PRICE_MUL,0.5,판매가 = value × 이 값
CONTRACT_SQUAD_SHARE,0.25,같은 기업 계약 중인 분대원의 행동이 내 진행에 주는 비율
CONTRACT_MAX_ACTIVE,1,동시에 받을 수 있는 계약 수
IMPLANT_REPAIR_FEE,150,세레스 바이오 임플란트 수리 기본 수수료 (등급 배수는 코드)

# housing — 방 용도 증축
ROOM_PURPOSE_BUILD_GENERATOR_LEVEL,1,증축에 필요한 발전기 레벨

# housing — 연구실 분석기 (2026-09-11)
ANALYZER_SLOTS_PER_LEVEL,1,"분석기 레벨 한 단계가 여는 해석 칸 수. Lv.1 = 1칸 … Lv.3 = 3칸 (재배 스테이션이 층을 여는 것과 같은 모양)."
